addr,value
addr:street,Кавказский бульвар
addr:housenumber,5/1к1
addr:postcode,105037
addr:street,улица Пришвина
addr:postcode,121596
addr:street,Барвихинская улица
addr:housenumber,38А к3
addr:postcode,119334
addr:housenumber,51 с2
addr:housenumber,51 к3
addr:street,Измайловское шоссе
addr:street,2-я Рощинская улица
addr:street,Шлюзовая набережная
addr:housenumber,154 к2
addr:street,Востряковское шоссе
addr:housenumber,7 с6
addr:housenumber,105 к1
addr:street,улица Эльдара Рязанова
addr:street,улица Обручева
addr:housenumber,3В
addr:postcode,117574
addr:housenumber,105 к2
addr:postcode,117186
addr:street,Всеволожский переулок
addr:street,Земледельческий переулок
addr:street,Большой Ордынский переулок
addr:street,Большой Николоворобинский переулок
addr:street,бульвар Адмирала Ушакова
addr:housenumber,34 к6
addr:postcode,123112
addr:street,1-й Красногвардейский проезд
addr:housenumber,79 с1
addr:housenumber,77 к2
addr:housenumber,110 с53
addr:housenumber,39 с5
addr:housenumber,39 к2
addr:housenumber,39 к1
addr:housenumber,39 к8
addr:housenumber,39 к9
addr:housenumber,39 к3
addr:place,Мостовая улица
addr:postcode,108818
addr:place,квартал № 4
addr:housenumber,вл45
addr:street,улица Нижние Мнёвники
addr:housenumber,110
addr:street,улица Сталеваров
addr:street,4-й Добрынинский переулок
addr:housenumber,21 с10
addr:postcode,127206
addr:street,улица Вучетича
addr:housenumber,21 с9
addr:street,Ангарская улица
addr:housenumber,23-41
addr:housenumber,27 к6
addr:housenumber,18-20-22 с1
addr:street,Большая Сухаревская площадь
addr:housenumber,5/1 с2
addr:housenumber2,1 с2
addr:street2,1-й Коптельский переулок
addr:postcode,129329
addr:street,Кольская улица
addr:housenumber,56/2 с1
addr:housenumber,56/2
addr:housenumber,1/18 с2
addr:street,улица Бирюсинка
addr:housenumber,1/18 с1
addr:housenumber,1/18 с4
addr:housenumber,30А к6
addr:street,Перовское шоссе
addr:street,Рогачёвский переулок
addr:housenumber,41 с9
addr:housenumber,41 с8
addr:housenumber,41 с7
addr:housenumber,41 с12
addr:housenumber,41 с63
addr:housenumber,41 с13
addr:housenumber,41 с14
addr:street,Мурановская улица
addr:street,2-я Пугачёвская улица
addr:housenumber,12/7 кБ
addr:street,улица Руставели
addr:housenumber,12/7 с3
addr:street,Триумфальная площадь
addr:housenumber,31/4
addr:housenumber,27 с2
addr:street,Ермолаевский переулок
addr:housenumber,77А
addr:housenumber,79 к4
addr:street,Гранатный переулок
addr:street,улица Лихоборские Бугры
addr:housenumber,73 к3
addr:housenumber,73А
addr:housenumber,10 с6
addr:street,Часовая улица
addr:street,Газгольдерная улица
addr:housenumber,6/11
addr:housenumber,228 к3
addr:postcode,141431
addr:housenumber,18 с3
addr:housenumber,13 к4 с1
addr:housenumber,13 к4 с3
addr:housenumber,13 к4 с4
addr:housenumber,16 с2
addr:street,улица Генерала Дорохова
addr:housenumber,17/27 с1
addr:housenumber2,27/17
addr:street,Астраханский переулок
addr:street2,Протопоповский переулок
addr:housenumber,35В
addr:housenumber,41 к4
addr:housenumber,23 с9
addr:street,улица Павла Андреева
addr:housenumber,23 с7
addr:housenumber,29 к5
addr:housenumber,17А
addr:postcode,121096
addr:street,улица Василисы Кожиной
addr:housenumber,1А с4
addr:postcode,115211
addr:street,улица Борисовские Пруды
addr:housenumber,1А с5
addr:housenumber,1А с8
addr:housenumber,1А с2
addr:housenumber,1А с7
addr:postcode,129272
addr:street,проезд Черского
addr:postcode,129110
addr:street,Суворовская площадь
addr:street,Угрешская улица
addr:housenumber,24 с49
addr:housenumber,24 с50
addr:street,Севильский бульвар
addr:street,улица Федосьино
addr:housenumber,29 с1
addr:housenumber,24 с41
addr:housenumber,24 с40
addr:housenumber,39А
addr:street,Бережковская набережная
addr:street,улица Правды
addr:housenumber,11А с2
addr:postcode,127473
addr:street,Селезнёвская улица
addr:street,улица Грузинский Вал
addr:street,Москворецкая набережная
addr:street,Китайгородский проезд
addr:street,Старобитцевская улица
addr:street,улица Главмосстроя
addr:street,переулок Обуха
addr:housenumber,99
addr:street,Станционная улица
addr:housenumber,вл4
addr:housenumber,10Г
addr:street,улица Толбухина
addr:place,3-я Хорошевская улица
addr:street,4-й Новомихалковский проезд
addr:street,Куркинское шоссе
addr:postcode,109156
addr:street,улица Генерала Кузнецова
addr:housenumber,10/6
addr:housenumber,43-45 с1
addr:housenumber,к14
addr:place,квартал Грайвороново 90А
addr:housenumber,98 к10
addr:postcode,117485
addr:street,улица Лобановский Лес
addr:street,улица Покрышкина
addr:housenumber,91 к2
addr:housenumber,91 к1
addr:postcode,115551
addr:street,Домодедовская улица
addr:street,Ружейный переулок
addr:street,Смоленский бульвар
addr:housenumber,19 с2
addr:housenumber,17 с5
addr:housenumber,46 к4
addr:housenumber,46 к5
addr:housenumber,46 к6
addr:housenumber,51 к2
addr:housenumber,13А с2
addr:housenumber,2/2 к2
addr:postcode,115487
addr:street,2-й Нагатинский проезд
addr:housenumber,2/2 к1
addr:housenumber,30Б
addr:street,улица Петра Алексеева
addr:street,1-й Вязовский проезд
addr:street,проспект 60-летия Октября
addr:housenumber,17 с25
addr:postcode,107061
addr:street,улица Преображенский Вал
addr:housenumber,69 к3
addr:housenumber,48 к2
addr:street,Михалковская улица
addr:street,Тессинский переулок
addr:street,улица Виктора Маслова
addr:housenumber,10В
addr:housenumber,1Б с1
addr:housenumber,1Б с3
addr:street,Киевское шоссе
addr:street,улица Василия Ланового
addr:street,улица Шекспира
addr:street,Гренадерская улица
addr:housenumber,19 с51
addr:street,проезд Энтузиастов
addr:housenumber,284 к1
addr:housenumber,284 к4
addr:housenumber,284 к3
addr:housenumber,284 к2
addr:housenumber,282 к2
addr:housenumber,282 к3
addr:housenumber,282 к1
addr:housenumber,4 с24
addr:street,проектируемый проезд № 3683
addr:housenumber,74 к3
addr:street,Новохохловская улица
addr:housenumber,63 к1
addr:street,улица Лавочкина
addr:postcode,111116
addr:street,Аргуновская улица
addr:housenumber,9 с18
addr:street,улица Космонавтов
addr:street,Большой Овчинниковский переулок
addr:housenumber,84
addr:housenumber,146
addr:housenumber,122
addr:housenumber,138
addr:housenumber,31 с20
addr:street,улица Шаболовка
addr:street,Хавская улица
addr:street,Новоданиловская набережная
addr:street,1-й Иртышский проезд
addr:street,Витебская улица
addr:housenumber,14 с12
addr:housenumber,14 с11
addr:housenumber,37 с4
addr:postcode,117105
addr:housenumber,10/2 с2Б
addr:housenumber,7с 71
addr:housenumber,7 c82
addr:housenumber,17/22
addr:housenumber2,22/17
addr:postcode,109652
addr:street,Поречная улица
addr:street2,Мячковский бульвар
addr:housenumber,22 к6
addr:postcode,125581
addr:street,Подольское шоссе
addr:postcode,127591
addr:housenumber,22 к3
addr:street,Староалексеевская улица
addr:housenumber,60
addr:postcode,105484
addr:street,Сиреневый бульвар
addr:postcode,109469
addr:street,Болотная улица
addr:housenumber,29А к3
addr:street,Мрузовский переулок
addr:housenumber,18 с10
addr:postcode,125993
addr:street,улица Архитектора Власова
addr:postcode,117335
addr:street,Юрловский проезд
addr:housenumber,173А
addr:street,улица Братьев Бромлей
addr:housenumber,20А с8
addr:street,улица Арбат
addr:street,Большая Юшуньская улица
addr:housenumber,8/40
addr:street,Гончарный проезд
addr:housenumber,26 к2
addr:street,Брянская улица
addr:street,улица Саморы Машела
addr:housenumber,38Б к4
addr:street,улица Большое Понизовье
addr:street,улица Николая Озерова
addr:street,Чкаловский бульвар
addr:housenumber,26/1
addr:street,улица Александра Солженицына
addr:housenumber,27/35 с1
addr:street,улица Эдуарда Стрельцова
addr:housenumber,10 с24
addr:street,Смирновская улица
addr:housenumber,33 с32
addr:housenumber,33 с30
addr:housenumber,33 с16
addr:housenumber,33 с31
addr:housenumber,33 с15
addr:housenumber,29-33 с2
addr:housenumber,54 с10
addr:street,Перовский проезд
addr:housenumber,14 с25
addr:street,Подъёмная улица
addr:housenumber,25А с2
addr:housenumber,14 с42А
addr:housenumber,14 с37
addr:housenumber,54 с7
addr:housenumber,14 с10
addr:housenumber,73А с2
addr:street,Ратная улица
addr:housenumber,40 с4
addr:housenumber,33/41 с1
addr:housenumber,33/41 с2
addr:housenumber,33/41 с3
addr:street,Большая Черёмушкинская улица
addr:housenumber,3с16
addr:street,Рубцовская набережная
addr:street,улица Лобачика
addr:housenumber,2/8 к5
addr:street,Малая Красносельская улица
addr:housenumber,2/8 к4
addr:housenumber,1 к5
addr:housenumber,23стр3
addr:street,аллея Витте
addr:street,1-я Прядильная улица
addr:housenumber,лит Г
addr:street,Остафьевская улица
addr:housenumber,43 с2
addr:street,Леснорядский переулок
addr:housenumber,18.2
addr:housenumber,18.1
addr:housenumber,12 с3
